id	symbol
MS00519	Hoxd13
MS00520	Hoxd13
MS00521	Hoxd3
MS00523	Zic3
MS00524	Hoxd9
MS00525	Hoxd9
MS00526	IRX2
MS00527	IRX5
MS00528	ISL2
MS00531	ISX
MS00532	Irx3
MS00533	LBX2
MS00534	CENPB
MS00535	LBX2
MS00536	LHX2
MS00537	LHX2
MS00539	LHX6
MS00540	LHX6
MS00541	LHX9
MS00542	LHX9
MS00543	LMX1A
MS00547	Lhx4
MS00548	Lhx8
MS00549	Lhx8
MS00550	Lhx8
MS00551	MEOX1
MS00552	MEOX2
MS00553	MEOX2
MS00554	MEOX2
MS00555	MIXL1
MS00556	GRHL1
MS00557	MNX1
MS00558	MSX1
MS00559	MSX1
MS00561	MSX2
MS00563	Meox2
MS00564	Msx3
MS00566	NKX2-3
MS00567	EGR3
MS00571	NKX2-8
MS00572	NKX3-1
MS00573	NKX3-2
MS00575	NKX6-1
MS00577	NKX6-2
MS00578	NOTO
MS00579	TFCP2
MS00580	Nkx3-1
MS00581	Nkx6-1
MS00582	OTX1
MS00585	OTX2
MS00586	Otx1
MS00588	PDX1
MS00589	PDX1
MS00591	PHOX2A
MS00593	PHOX2B
MS00595	PITX1
MS00596	PITX3
MS00597	PROP1
MS00599	PRRX1
MS00601	CUX1
MS00602	PRRX1
MS00603	PRRX2
MS00604	Prrx2
MS00605	RAXL1
MS00606	RAX
MS00609	RHOXF1
MS00611	Rhox11
MS00612	CUX1
MS00613	SHOX2
MS00614	SHOX
MS00615	Shox2
MS00616	UNCX
MS00617	UNCX
MS00618	Uncx
MS00619	Uncx
MS00620	VAX1
MS00621	VAX2
MS00624	VENTX
MS00626	VSX1
MS00627	VSX2
MS00628	Vsx1
MS00634	CUX2
MS00638	ESRRG
MS00641	Esrra
MS00651	NR2C2
MS00652	NR2E1
MS00653	NR2E1
MS00657	NR2F1
MS00658	NR2F6
MS00662	NR3C2
MS00665	NR4A2
MS00667	ONECUT1
MS00668	Nr2e1
MS00669	Nr2f6
MS00678	EGR4
MS00679	ONECUT2
MS00680	RARG
MS00682	RARG
MS00684	RARG
MS00685	RORA
MS00686	RORA
MS00690	ONECUT3
MS00692	RXRB
MS00694	RXRG
MS00698	Rara
MS00700	Rarb
MS00704	Rarg
MS00705	Rarg
MS00708	Rxrb
MS00709	THRA
MS00710	THRB
MS00711	THRB
MS00712	E2F2
MS00713	THRB
MS00717	Tp53
MS00718	Tp53
MS00721	GMEB2
MS00725	MTF1
MS00726	PRDM4
MS00727	ZBTB49
MS00728	ZNF232
MS00729	ZNF282
MS00730	ZNF435
MS00731	ZNF713
MS00732	CPEB1
MS00734	E2F3
MS00739	E2F8
MS00740	SOX10
MS00744	SOX10
MS00748	SOX14
MS00750	SOX15
MS00753	SOX18
MS00755	SOX21
MS00756	E2F7
MS00757	SOX21
